Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;CMCC-pEEz;58:3B:D9:81:AB:97;;2;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Tue Sep 13 14:33:49 2022;Tue Sep 13 14:33:49 2022;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;CMCC-9cmM;48:F8:FF:53:7F:89;;8;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Tue Sep 13 14:33:50 2022;Tue Sep 13 14:33:52 2022;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;4A:F8:FF:73:7F:89;;8;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Tue Sep 13 14:33:50 2022;Tue Sep 13 14:33:50 2022;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;CMCC-3ThV;A0:1C:8D:CF:3C:68;;1;No;OPN,None;No;11.0;0;2;0;11;0;0;11;;;Tue Sep 13 14:33:47 2022;Tue Sep 13 14:33:47 2022;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.254.1;
5;infrastructure;;02:3A:7C:6A:83:DB;;8;No;WPA2,WPA,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Tue Sep 13 14:33:50 2022;Tue Sep 13 14:33:52 2022;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;CMCC-3ThV;76:75:95:1C:5B:22;;1;No;OPN,None;No;405.0;0;3;0;0;0;0;0;;;Tue Sep 13 14:33:47 2022;Tue Sep 13 14:33:47 2022;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;CMCC-zD53;30:CC:21:72:50:D8;;9;No;WPA2,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Tue Sep 13 14:33:52 2022;Tue Sep 13 14:33:54 2022;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;CMCC-Uk6T;E8:68:19:D3:02:E0;;10;No;WPA2,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Tue Sep 13 14:33:54 2022;Tue Sep 13 14:33:54 2022;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;CMCC-5MFj;44:22:95:73:2F:16;;5;No;WPA2,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Tue Sep 13 14:33:55 2022;Tue Sep 13 14:33:55 2022;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;CMCC-3ThV;A0:1C:8D:CF:3B:68;;11;No;WPA2,AES-CCM,TKIP;No;195.0;0;2;0;0;0;0;0;;;Tue Sep 13 14:33:55 2022;Tue Sep 13 14:33:55 2022;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
